Data Date,Cash,Spot,Cash.1,Spot.1
2026-01-27 00:00:00,36.4700,37.0900,37.8100,37.4900
2026-01-28 00:00:00,36.7100,37.3300,38.0500,37.7300
2026-01-29 00:00:00,36.6800,37.3000,38.0200,37.7000
2026-01-30 00:00:00,36.7600,37.3800,38.1000,37.7800
2026-02-02 00:00:00,36.6600,37.2800,38.0000,37.6800
2026-02-03 00:00:00,36.4800,37.1000,37.8200,37.5000
2026-02-04 00:00:00,36.5300,37.1500,37.8700,37.5500
2026-02-05 00:00:00,36.5400,37.1600,37.8800,37.5600
2026-02-06 00:00:00,36.5400,37.1600,37.8800,37.5600
2026-02-09 00:00:00,36.5700,37.1900,37.9100,37.5900
2026-02-10 00:00:00,36.7700,37.3900,38.1100,37.7900
2026-02-11 00:00:00,36.6700,37.2900,38.0100,37.6900
2026-02-12 00:00:00,36.5300,37.1500,37.8700,37.5500
2026-02-13 00:00:00,36.5500,37.1700,37.8900,37.5700
2026-02-23 00:00:00,36.3700,36.9900,37.7100,37.3900
2026-02-24 00:00:00,36.2300,36.8500,37.5700,37.2500
2026-02-25 00:00:00,36.1300,36.7500,37.4700,37.1500
2026-02-26 00:00:00,36.0700,36.6900,37.4100,37.0900
2026-03-02 00:00:00,36.0500,36.6700,37.3900,37.0700
2026-03-03 00:00:00,36.0100,36.6300,37.3500,37.0300
2026-03-04 00:00:00,36.0000,36.6200,37.3400,37.0200
