Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/05,29.845,29.85,29.995,29.955
EUR,2025/06/05,33.905,33.939,34.505,34.35
CNY,2025/06/05,4.141,4.14,4.201,4.1913
