Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/08,28.99,28.995,29.14,29.101
EUR,2025/07/08,33.795,33.97,34.395,34.379
CNY,2025/07/08,4.021,4.0264,4.081,4.0773
