Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,30.9,31.225,31.233,31.19,31.13,31.065,31.009,30.952,30.896,Selling,31.57,31.375,31.337,31.298,31.245,31.188,31.138,31.088,31.036
Buying,3.855,3.976,3.978,3.975,3.97,3.965,3.96,3.955,3.951,Selling,4.059,4.046,4.039,4.037,4.034,4.029,4.025,4.022,4.018
Buying,42.08,42.975,43.092,43.015,42.926,42.832,42.749,42.667,42.585,Selling,44.2,43.605,43.508,43.463,43.387,43.293,43.221,43.15,43.078
Buying,21.73,21.945,22.013,21.978,21.935,21.888,21.844,21.8,21.752,Selling,22.51,22.29,22.22,22.2,22.162,22.115,22.078,22.038,21.995
Buying,22.64,22.97,23.042,23.026,23.008,22.988,22.97,22.952,22.934,Selling,23.55,23.3,23.247,23.241,23.228,23.211,23.2,23.189,23.178
Buying,24.19,24.66,24.697,24.69,24.687,24.686,24.684,24.682,24.68,Selling,25.1,24.88,24.883,24.889,24.89,24.891,24.898,24.906,24.913
Buying,40.0,40.61,40.718,40.734,40.773,40.819,40.863,40.907,40.951,Selling,41.2,41.0,40.984,41.033,41.082,41.131,41.188,41.246,41.303
Buying,0.1951,0.2019,0.2023,0.2023,0.2024,0.2026,0.2027,0.2027,0.2028,Selling,0.2079,0.2069,0.2064,0.2065,0.2067,0.2069,0.207,0.2072,0.2074
Buying,0.0,1.948,1.95,1.944,1.937,1.929,1.92,1.912,1.904,Selling,0.0,2.038,2.031,2.026,2.019,2.011,2.004,1.996,1.989
Buying,0.0,3.48,3.509,3.506,3.505,3.503,3.501,3.499,3.497,Selling,0.0,3.6,3.61,3.61,3.61,3.608,3.608,3.607,3.607
Buying,18.51,18.84,18.921,18.903,18.884,18.866,18.85,18.833,18.817,Selling,19.36,19.14,19.129,19.128,19.114,19.096,19.084,19.072,19.061
Buying,0.8754,0.9858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0654,1.0318,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,36.65,37.165,37.29,37.27,37.251,37.233,37.213,37.193,37.16,Selling,37.99,37.765,37.7,37.699,37.686,37.671,37.664,37.658,37.651
Buying,0.02014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00096,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,8.469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.413,4.48,4.4822,4.4807,4.4805,4.48,4.4786,4.4767,4.4757,Selling,4.575,4.54,4.5334,4.5341,4.5342,4.5337,4.5338,4.5339,4.534
