Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/19,30.105,30.113,30.255,30.22
EUR,2025/05/19,33.735,33.717,34.335,34.127
CNY,2025/05/19,4.156,4.1592,4.216,4.2103
