Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/27,29.855,29.859,30.005,29.965
EUR,2025/05/27,33.675,33.75,34.275,34.155
CNY,2025/05/27,4.134,4.1364,4.194,4.1871
