Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/03,29.915,29.919,30.065,30.025
EUR,2025/06/03,33.935,34.019,34.535,34.427
CNY,2025/06/03,4.142,4.1432,4.202,4.1941
