Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/10,29.875,29.877,30.025,29.983
EUR,2025/06/10,33.915,33.921,34.515,34.329
CNY,2025/06/10,4.138,4.1395,4.198,4.1899
