Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/06,29.845,29.849,29.995,29.955
EUR,2025/06/06,33.875,33.97,34.475,34.379
CNY,2025/06/06,4.136,4.1382,4.196,4.1892
