Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/10,29.16,29.165,29.31,29.271
EUR,2025/07/10,34.015,34.092,34.615,34.499
CNY,2025/07/10,4.045,4.0466,4.105,4.0971
