Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/08,30.195,30.207,30.345,30.314
EUR,2025/05/08,33.905,34.006,34.505,34.416
CNY,2025/05/08,4.154,4.1603,4.214,4.2114
