Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/15,29.21,29.205,29.36,29.311
EUR,2025/07/15,33.925,34.01,34.525,34.42
CNY,2025/07/15,4.053,4.0532,4.113,4.1042
