Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/05,30.07,30.071,30.22,30.179
EUR,2025/05/05,33.905,33.889,34.505,34.311
CNY,2025/05/05,4.159,4.1558,4.219,4.2084
