Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/23,29.925,29.939,30.075,30.044
EUR,2025/05/23,33.745,33.818,34.345,34.226
CNY,2025/05/23,4.151,4.1503,4.211,4.2012
