Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.575,29.925,29.906,29.844,29.766,29.696,29.628,29.555,29.482,Selling,30.245,30.025,30.01,29.955,29.886,29.826,29.767,29.702,29.638
Buying,3.663,3.789,3.789,3.789,3.788,3.787,3.783,3.779,3.775,Selling,3.867,3.849,3.85,3.853,3.852,3.852,3.849,3.846,3.843
Buying,39.49,40.5,40.461,40.384,40.287,40.21,40.125,40.04,39.955,Selling,41.61,40.9,40.88,40.841,40.753,40.681,40.609,40.537,40.465
Buying,19.18,19.47,19.454,19.422,19.38,19.35,19.317,19.285,19.251,Selling,19.96,19.67,19.661,19.644,19.607,19.577,19.549,19.522,19.495
Buying,21.26,21.66,21.648,21.624,21.596,21.582,21.561,21.54,21.519,Selling,22.17,21.86,21.858,21.854,21.83,21.819,21.804,21.789,21.775
Buying,22.83,23.32,23.313,23.298,23.29,23.29,23.287,23.283,23.28,Selling,23.74,23.5,23.505,23.514,23.51,23.511,23.514,23.517,23.521
Buying,36.36,37.04,37.047,37.06,37.102,37.157,37.207,37.257,37.308,Selling,37.56,37.29,37.317,37.371,37.421,37.477,37.538,37.599,37.66
Buying,0.1954,0.2027,0.2028,0.2029,0.203,0.2031,0.2032,0.2034,0.2035,Selling,0.2082,0.2067,0.2068,0.207,0.2072,0.2074,0.2076,0.2079,0.2081
Buying,0.0,1.665,1.662,1.656,1.648,1.641,1.633,1.625,1.618,Selling,0.0,1.745,1.743,1.738,1.731,1.724,1.716,1.709,1.702
Buying,0.0,3.09,3.089,3.086,3.084,3.083,3.082,3.081,3.079,Selling,0.0,3.19,3.19,3.191,3.189,3.189,3.188,3.188,3.188
Buying,17.37,17.75,17.737,17.71,17.682,17.662,17.639,17.615,17.592,Selling,18.22,17.95,17.947,17.94,17.916,17.897,17.878,17.86,17.841
Buying,0.798,0.9114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.988,0.9514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.2,34.82,34.81,34.789,34.765,34.747,34.72,34.692,34.649,Selling,35.54,35.22,35.22,35.219,35.203,35.191,35.181,35.17,35.159
Buying,0.01989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.079,4.151,4.1501,4.1483,4.1478,4.1473,4.1456,4.1435,4.1423,Selling,4.241,4.201,4.2013,4.2018,4.2017,4.2013,4.2015,4.2017,4.2019
