Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/19,29.545,29.54,29.695,29.646
EUR,2025/06/19,33.705,33.731,34.305,34.14
CNY,2025/06/19,4.092,4.0904,4.152,4.1411
