Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/03,28.735,28.739,28.885,28.846
EUR,2025/07/03,33.705,33.801,34.305,34.209
CNY,2025/07/03,3.997,3.9985,4.057,4.0492
