Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/28,29.805,29.813,29.955,29.92
EUR,2025/05/28,33.575,33.65,34.175,34.058
CNY,2025/05/28,4.127,4.1316,4.187,4.1823
