Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/10,32.79,32.792,32.94,32.899
EUR,2025/04/10,36.115,36.026,36.715,36.435
CNY,2025/04/10,4.463,4.4407,4.523,4.4916
