Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/21,30.08,30.079,30.23,30.187
EUR,2025/05/21,33.925,33.947,34.525,34.357
CNY,2025/05/21,4.159,4.1591,4.219,4.2103
