Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/02,28.925,28.927,29.075,29.033
EUR,2025/07/02,33.855,33.939,34.455,34.351
CNY,2025/07/02,4.019,4.0212,4.079,4.0725
