Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/15,30.11,30.11,30.26,30.217
EUR,2025/05/15,33.525,33.588,34.125,33.996
CNY,2025/05/15,4.16,4.1605,4.22,4.2111
