Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/25,29.355,29.36,29.505,29.465
EUR,2025/07/25,34.255,34.39,34.855,34.799
CNY,2025/07/25,4.076,4.0803,4.136,4.1312
