Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/04,33.01,33.017,33.16,33.123
EUR,2025/04/04,36.245,35.496,36.845,35.904
CNY,2025/04/04,4.519,4.5185,4.579,4.5696
