Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/26,29.825,29.838,29.975,29.944
EUR,2025/05/26,33.725,33.867,34.325,34.278
CNY,2025/05/26,4.137,4.1402,4.197,4.1913
