Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/23,29.28,29.285,29.43,29.39
EUR,2025/07/23,34.155,34.25,34.755,34.658
CNY,2025/07/23,4.071,4.0721,4.131,4.1233
