Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/27,29.08,29.086,29.23,29.191
EUR,2025/06/27,33.835,33.951,34.435,34.36
CNY,2025/06/27,4.037,4.0425,4.097,4.0934
