Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/25,32.44,32.446,32.59,32.552
EUR,2025/04/25,36.585,36.745,37.185,37.157
CNY,2025/04/25,4.433,4.437,4.493,4.4884
