Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/02,29.885,29.899,30.035,30.005
EUR,2025/06/02,33.935,34.028,34.535,34.438
CNY,2025/06/02,4.125,4.1328,4.185,4.1842
