Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/21,32.37,32.375,32.52,32.482
EUR,2025/04/21,37.105,37.305,37.705,37.714
CNY,2025/04/21,4.422,4.427,4.482,4.4774
