Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/01,29.08,29.085,29.23,29.192
EUR,2025/07/01,34.155,34.14,34.755,34.55
CNY,2025/07/01,4.044,4.0464,4.104,4.0972
