Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/20,29.445,29.45,29.595,29.556
EUR,2025/06/20,33.745,33.8,34.345,34.211
CNY,2025/06/20,4.082,4.0822,4.142,4.1333
