Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,30.24,30.59,30.57,30.51,30.431,30.357,30.279,30.214,30.151,Selling,30.91,30.69,30.674,30.62,30.551,30.487,30.42,30.364,30.309
Buying,3.772,3.898,3.896,3.891,3.885,3.879,3.874,3.868,3.862,Selling,3.976,3.958,3.957,3.954,3.948,3.944,3.939,3.935,3.93
Buying,40.28,41.29,41.253,41.18,41.081,40.992,40.897,40.802,40.708,Selling,42.4,41.69,41.667,41.622,41.525,41.441,41.361,41.281,41.201
Buying,19.67,19.96,19.944,19.913,19.872,19.838,19.802,19.766,19.728,Selling,20.45,20.16,20.15,20.13,20.09,20.058,20.029,20.0,19.968
Buying,21.79,22.19,22.179,22.156,22.131,22.111,22.088,22.065,22.042,Selling,22.7,22.39,22.386,22.379,22.354,22.337,22.322,22.307,22.291
Buying,23.28,23.77,23.765,23.756,23.753,23.753,23.751,23.748,23.746,Selling,24.19,23.95,23.954,23.962,23.961,23.963,23.969,23.975,23.981
Buying,37.42,38.1,38.108,38.125,38.174,38.217,38.259,38.301,38.343,Selling,38.62,38.35,38.374,38.421,38.472,38.52,38.577,38.634,38.691
Buying,0.1985,0.2058,0.2058,0.2059,0.2061,0.2062,0.2063,0.2064,0.2065,Selling,0.2113,0.2098,0.2099,0.2101,0.2103,0.2105,0.2107,0.2109,0.2112
Buying,0.0,1.701,1.698,1.692,1.684,1.677,1.669,1.661,1.653,Selling,0.0,1.781,1.779,1.775,1.766,1.759,1.752,1.745,1.738
Buying,0.0,3.21,3.209,3.207,3.205,3.203,3.201,3.199,3.197,Selling,0.0,3.31,3.31,3.31,3.309,3.307,3.307,3.307,3.307
Buying,17.59,17.97,17.958,17.934,17.909,17.887,17.864,17.841,17.818,Selling,18.44,18.17,18.165,18.156,18.133,18.112,18.096,18.079,18.063
Buying,0.8212,0.9346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0112,0.9746,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.6015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,35.04,35.66,35.649,35.626,35.604,35.585,35.564,35.543,35.508,Selling,36.38,36.06,36.06,36.059,36.04,36.026,36.018,36.01,36.002
Buying,0.02027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.195,4.267,4.2668,4.2664,4.2635,4.2623,4.2605,4.2581,4.2569,Selling,4.357,4.317,4.3179,4.3198,4.3173,4.3164,4.3161,4.3157,4.3153
