Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,30.03,30.38,30.36,30.289,30.222,30.144,30.071,30.005,29.941,Selling,30.7,30.48,30.464,30.401,30.342,30.275,30.212,30.155,30.099
Buying,3.739,3.865,3.865,3.865,3.864,3.863,3.859,3.855,3.851,Selling,3.943,3.925,3.926,3.929,3.928,3.928,3.925,3.922,3.919
Buying,39.92,40.93,40.891,40.814,40.717,40.64,40.555,40.47,40.385,Selling,42.04,41.33,41.31,41.271,41.183,41.111,41.039,40.967,40.895
Buying,19.37,19.66,19.644,19.612,19.57,19.54,19.507,19.475,19.441,Selling,20.15,19.86,19.851,19.834,19.797,19.767,19.739,19.712,19.685
Buying,21.51,21.91,21.898,21.874,21.846,21.832,21.811,21.79,21.769,Selling,22.42,22.11,22.108,22.104,22.08,22.069,22.054,22.039,22.025
Buying,23.17,23.66,23.653,23.638,23.63,23.63,23.627,23.623,23.62,Selling,24.08,23.84,23.845,23.854,23.85,23.851,23.854,23.857,23.861
Buying,37.12,37.8,37.807,37.82,37.862,37.917,37.967,38.017,38.068,Selling,38.32,38.05,38.077,38.131,38.181,38.237,38.298,38.359,38.42
Buying,0.1974,0.2047,0.2047,0.2047,0.2049,0.205,0.2052,0.2053,0.2054,Selling,0.2102,0.2087,0.2088,0.2091,0.2093,0.2095,0.2097,0.2099,0.2102
Buying,0.0,1.695,1.692,1.686,1.678,1.671,1.663,1.655,1.648,Selling,0.0,1.775,1.773,1.768,1.761,1.754,1.746,1.739,1.732
Buying,0.0,3.15,3.149,3.146,3.144,3.143,3.142,3.141,3.139,Selling,0.0,3.25,3.25,3.251,3.249,3.249,3.248,3.248,3.248
Buying,17.39,17.77,17.757,17.73,17.702,17.682,17.659,17.635,17.612,Selling,18.24,17.97,17.967,17.96,17.936,17.917,17.898,17.88,17.861
Buying,0.81,0.9234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0,0.9634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4709,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.6029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.8,35.42,35.408,35.385,35.367,35.349,35.329,35.309,35.275,Selling,36.14,35.82,35.817,35.811,35.798,35.785,35.779,35.773,35.766
Buying,0.02023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.744,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.158,4.23,4.2291,4.2273,4.2272,4.2271,4.2251,4.2227,4.2213,Selling,4.32,4.28,4.2801,4.2804,4.2802,4.2794,4.2793,4.2792,4.279
