Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/12,30.24,30.243,30.39,30.349
EUR,2025/05/12,33.295,33.466,33.895,33.877
CNY,2025/05/12,4.178,4.1771,4.238,4.2281
