Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/17,29.335,29.34,29.485,29.446
EUR,2025/07/17,33.795,33.891,34.395,34.298
CNY,2025/07/17,4.065,4.0674,4.125,4.1179
