Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.625,29.975,29.956,29.888,29.817,29.744,29.669,29.603,29.533,Selling,30.295,30.075,30.059,29.999,29.939,29.874,29.809,29.753,29.691
Buying,3.68,3.806,3.806,3.806,3.805,3.804,3.8,3.796,3.792,Selling,3.884,3.866,3.867,3.87,3.869,3.869,3.866,3.863,3.86
Buying,39.5,40.51,40.471,40.394,40.297,40.22,40.135,40.05,39.965,Selling,41.62,40.91,40.89,40.851,40.763,40.691,40.619,40.547,40.475
Buying,19.18,19.47,19.454,19.422,19.38,19.35,19.317,19.285,19.251,Selling,19.96,19.67,19.661,19.644,19.607,19.577,19.549,19.522,19.495
Buying,21.26,21.66,21.648,21.624,21.596,21.582,21.561,21.54,21.519,Selling,22.17,21.86,21.858,21.854,21.83,21.819,21.804,21.789,21.775
Buying,22.84,23.33,23.323,23.308,23.3,23.3,23.297,23.293,23.29,Selling,23.75,23.51,23.515,23.524,23.52,23.521,23.524,23.527,23.531
Buying,36.42,37.1,37.107,37.12,37.162,37.217,37.267,37.317,37.368,Selling,37.62,37.35,37.377,37.431,37.481,37.537,37.598,37.659,37.72
Buying,0.1945,0.2018,0.2018,0.2019,0.202,0.2022,0.2023,0.2024,0.2025,Selling,0.2073,0.2058,0.2059,0.2061,0.2063,0.2065,0.2067,0.2069,0.2071
Buying,0.0,1.669,1.666,1.66,1.652,1.645,1.637,1.629,1.622,Selling,0.0,1.749,1.747,1.742,1.735,1.728,1.72,1.713,1.706
Buying,0.0,3.1,3.099,3.096,3.094,3.093,3.092,3.091,3.089,Selling,0.0,3.2,3.2,3.201,3.199,3.199,3.198,3.198,3.198
Buying,17.34,17.72,17.707,17.68,17.652,17.632,17.609,17.585,17.562,Selling,18.19,17.92,17.917,17.91,17.886,17.867,17.848,17.83,17.811
Buying,0.7975,0.9109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.9875,0.9509,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.32,34.94,34.93,34.909,34.889,34.871,34.847,34.822,34.783,Selling,35.66,35.34,35.339,35.336,35.321,35.309,35.3,35.29,35.28
Buying,0.01996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00133,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.083,4.155,4.1542,4.1527,4.1521,4.1512,4.1494,4.1471,4.1459,Selling,4.245,4.205,4.2051,4.2052,4.2048,4.2042,4.2042,4.2041,4.204
