Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/14,29.22,29.22,29.37,29.326
EUR,2025/07/14,33.965,34.03,34.565,34.44
CNY,2025/07/14,4.058,4.0592,4.118,4.1103
