Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/20,30.1,30.103,30.25,30.209
EUR,2025/05/20,33.665,33.798,34.265,34.206
CNY,2025/05/20,4.151,4.1533,4.211,4.2043
