Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/28,32.38,32.381,32.53,32.487
EUR,2025/04/28,36.565,36.617,37.165,37.027
CNY,2025/04/28,4.419,4.4194,4.479,4.4702
