Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/16,32.435,32.437,32.585,32.543
EUR,2025/04/16,36.635,36.804,37.235,37.212
CNY,2025/04/16,4.42,4.4103,4.48,4.4611
