Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,29.995,30.345,30.325,30.257,30.191,30.118,30.044,29.982,29.923,Selling,30.665,30.445,30.429,30.37,30.312,30.25,30.185,30.133,30.08
Buying,3.746,3.872,3.87,3.865,3.859,3.853,3.848,3.842,3.836,Selling,3.95,3.932,3.931,3.928,3.922,3.918,3.913,3.909,3.904
Buying,40.02,41.03,40.993,40.92,40.821,40.732,40.637,40.542,40.448,Selling,42.14,41.43,41.407,41.362,41.265,41.181,41.101,41.021,40.941
Buying,19.66,19.95,19.934,19.903,19.862,19.828,19.792,19.756,19.718,Selling,20.44,20.15,20.14,20.12,20.08,20.048,20.019,19.99,19.958
Buying,21.52,21.92,21.909,21.886,21.861,21.841,21.818,21.795,21.772,Selling,22.43,22.12,22.116,22.109,22.084,22.067,22.052,22.037,22.021
Buying,23.12,23.61,23.605,23.596,23.593,23.593,23.591,23.588,23.586,Selling,24.03,23.79,23.794,23.802,23.801,23.803,23.809,23.815,23.821
Buying,37.51,38.19,38.198,38.215,38.264,38.307,38.349,38.391,38.433,Selling,38.71,38.44,38.464,38.511,38.562,38.61,38.667,38.724,38.781
Buying,0.197,0.2043,0.2043,0.2044,0.2045,0.2046,0.2048,0.2049,0.205,Selling,0.2098,0.2083,0.2084,0.2086,0.2088,0.2089,0.2092,0.2094,0.2097
Buying,0.0,1.698,1.695,1.689,1.681,1.674,1.666,1.658,1.65,Selling,0.0,1.778,1.776,1.772,1.763,1.756,1.749,1.742,1.735
Buying,0.0,3.2,3.199,3.197,3.195,3.193,3.191,3.189,3.187,Selling,0.0,3.3,3.3,3.3,3.299,3.297,3.297,3.297,3.297
Buying,17.59,17.97,17.958,17.934,17.909,17.887,17.864,17.841,17.818,Selling,18.44,18.17,18.165,18.156,18.133,18.112,18.096,18.079,18.063
Buying,0.8314,0.9448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0214,0.9848,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.6014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,34.94,35.56,35.545,35.514,35.501,35.48,35.459,35.437,35.4,Selling,36.28,35.96,35.957,35.951,35.947,35.932,35.922,35.912,35.902
Buying,0.02015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,7.718,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.171,4.243,4.2414,4.2383,4.239,4.2377,4.236,4.2336,4.2325,Selling,4.333,4.293,4.293,4.293,4.2939,4.2932,4.2929,4.2925,4.2922
