Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/18,29.45,29.455,29.6,29.561
EUR,2025/06/18,33.675,33.791,34.275,34.2
CNY,2025/06/18,4.079,4.0817,4.139,4.1322
