Rate,Cash,Spot,Forward-10Days,Forward-30Days,Forward-60Days,Forward-90Days,Forward-120Days,Forward-150Days,Forward-180Days,Rate.1,Cash.1,Spot.1,Forward-10Days.1,Forward-30Days.1,Forward-60Days.1,Forward-90Days.1,Forward-120Days.1,Forward-150Days.1,Forward-180Days.1
Buying,30.875,31.225,31.208,31.165,31.105,31.04,30.984,30.927,30.871,Selling,31.545,31.325,31.312,31.273,31.22,31.163,31.113,31.063,31.011
Buying,3.852,3.978,3.976,3.973,3.968,3.963,3.958,3.953,3.949,Selling,4.056,4.038,4.037,4.035,4.032,4.027,4.023,4.02,4.016
Buying,42.08,43.09,43.052,42.975,42.886,42.792,42.709,42.627,42.545,Selling,44.2,43.49,43.468,43.423,43.347,43.253,43.181,43.11,43.038
Buying,21.75,22.04,22.023,21.988,21.945,21.898,21.854,21.81,21.762,Selling,22.53,22.24,22.23,22.21,22.172,22.125,22.088,22.048,22.005
Buying,22.64,23.04,23.032,23.016,22.998,22.978,22.96,22.942,22.924,Selling,23.55,23.24,23.237,23.231,23.218,23.201,23.19,23.179,23.168
Buying,24.21,24.7,24.697,24.69,24.687,24.686,24.684,24.682,24.68,Selling,25.12,24.88,24.883,24.889,24.89,24.891,24.898,24.906,24.913
Buying,40.04,40.72,40.728,40.744,40.783,40.829,40.873,40.917,40.961,Selling,41.24,40.97,40.994,41.043,41.092,41.141,41.198,41.256,41.313
Buying,0.1951,0.2024,0.2024,0.2024,0.2025,0.2027,0.2028,0.2028,0.2029,Selling,0.2079,0.2064,0.2065,0.2066,0.2068,0.207,0.2071,0.2073,0.2075
Buying,0.0,1.953,1.95,1.944,1.937,1.929,1.92,1.912,1.904,Selling,0.0,2.033,2.031,2.026,2.019,2.011,2.004,1.996,1.989
Buying,0.0,3.51,3.509,3.506,3.505,3.503,3.501,3.499,3.497,Selling,0.0,3.61,3.61,3.61,3.61,3.608,3.608,3.607,3.607
Buying,18.55,18.93,18.921,18.903,18.884,18.866,18.85,18.833,18.817,Selling,19.4,19.13,19.129,19.128,19.114,19.096,19.084,19.072,19.061
Buying,0.8788,0.9922,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,1.0688,1.0322,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.4648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.5968,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,36.67,37.29,37.28,37.26,37.241,37.223,37.203,37.183,37.15,Selling,38.01,37.69,37.69,37.689,37.676,37.661,37.654,37.648,37.641
Buying,0.02019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.02409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,0.00098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,0.00139,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,6.948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Selling,8.473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Buying,4.408,4.48,4.4792,4.4777,4.4775,4.477,4.4756,4.4737,4.4727,Selling,4.57,4.53,4.5304,4.5311,4.5312,4.5307,4.5308,4.5309,4.531
