Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/14,30.205,30.207,30.355,30.314
EUR,2025/05/14,33.735,33.797,34.335,34.206
CNY,2025/05/14,4.176,4.1753,4.236,4.2263
