Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/08/05,29.845,29.85,29.995,29.954
EUR,2025/08/05,34.245,34.341,34.845,34.749
CNY,2025/08/05,4.133,4.1342,4.193,4.1851
JPY,2025/08/05,0.2003,0.2011,0.2053,0.2052
