Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/30,31.905,31.917,32.055,32.024
EUR,2025/04/30,36.045,36.187,36.645,36.596
CNY,2025/04/30,4.372,4.3774,4.432,4.4285
