Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/25,29.3,29.298,29.45,29.404
EUR,2025/06/25,33.805,33.86,34.405,34.27
CNY,2025/06/25,4.068,4.07,4.128,4.1212
