Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/08/11,29.84,29.846,29.99,29.949
EUR,2025/08/11,34.535,34.64,35.135,35.047
CNY,2025/08/11,4.128,4.1373,4.188,4.1883
