Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/09,30.22,30.228,30.37,30.334
EUR,2025/05/09,33.795,33.887,34.395,34.295
CNY,2025/05/09,4.155,4.1553,4.215,4.2061
