Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/08/04,29.82,29.83,29.97,29.935
EUR,2025/08/04,34.295,34.359,34.895,34.77
CNY,2025/08/04,4.133,4.1382,4.193,4.1894
