Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/17,32.45,32.452,32.6,32.558
EUR,2025/04/17,36.675,36.806,37.275,37.214
CNY,2025/04/17,4.426,4.4299,4.486,4.4805
