Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/21,29.34,29.344,29.49,29.45
EUR,2025/07/21,33.955,34.041,34.555,34.448
CNY,2025/07/21,4.07,4.0724,4.13,4.1231
