Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/06/17,29.43,29.435,29.58,29.541
EUR,2025/06/17,33.835,33.89,34.435,34.3
CNY,2025/06/17,4.078,4.0813,4.138,4.1324
