Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/05/01,31.905,31.917,32.055,32.024
EUR,2025/05/01,35.925,36.187,36.525,36.596
CNY,2025/05/01,4.369,4.3774,4.429,4.4285
