Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/08/13,29.87,29.876,30.02,29.98
EUR,2025/08/13,34.795,34.85,35.395,35.259
CNY,2025/08/13,4.143,4.1453,4.203,4.1964
