Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/07/22,29.365,29.37,29.515,29.475
EUR,2025/07/22,34.175,34.21,34.775,34.619
CNY,2025/07/22,4.073,4.0754,4.133,4.1263
