Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/04/22,32.41,32.407,32.56,32.515
EUR,2025/04/22,37.035,37.165,37.635,37.571
CNY,2025/04/22,4.411,4.4133,4.471,4.4641
