Currency,Date,Buy_cash,Buy_spot,Sell_cash,Sell_spot
USD,2025/08/12,29.94,29.946,30.09,30.05
EUR,2025/08/12,34.655,34.67,35.255,35.08
CNY,2025/08/12,4.15,4.1453,4.21,4.1965
